precision,recall,f1,test_size %,num_trees,depth_tree
0.42620353327674426,0.6244178411977481,0.4552967283613673,95.0,10,10
0.975997565771514,0.9881630838066213,0.9760162124979194,95.0,10,100
0.9964125007619767,0.988237410256016,0.9916375848450418,95.0,10,1000
0.4223877504196031,0.5508404409546989,0.4412437089330289,95.0,50,10
0.9758167886494351,0.9881705127206346,0.9759337920510579,95.0,50,100
0.9967629082633978,0.988251970637332,0.9918208912240752,95.0,50,1000
0.3780308442337024,0.44491847800605294,0.38997655823655797,95.0,100,10
0.9765962182159016,0.9881833417957919,0.976336001259317,95.0,100,100
0.9967629082633978,0.988251970637332,0.9918208912240752,95.0,100,1000
0.4092705866586082,0.5259772174140366,0.4346839872853918,95.0,150,10
0.9745741014879027,0.9881705127206346,0.9752852205667418,95.0,150,100
0.9967629082633978,0.988251970637332,0.9918208912240752,95.0,150,1000
0.4381479839531028,0.5264741210779189,0.4545978860374712,95.0,200,10
0.9762782531920543,0.9881790640785378,0.9761739308131059,95.0,200,100
0.9967629082633978,0.988251970637332,0.9918208912240752,95.0,200,1000
0.4152150443207465,0.5536736008019938,0.4297468548022753,90.0,10,10
0.9627043205343164,0.9882731359245175,0.9688288181180488,90.0,10,100
0.997086870565799,0.988368979369318,0.9920051710519321,90.0,10,1000
0.35743936942605686,0.4830068149544715,0.3725512465851251,90.0,50,10
0.9926575387077405,0.9883215579948116,0.9897687661509618,90.0,50,100
0.997086870565799,0.988368979369318,0.9920051710519321,90.0,50,1000
0.37013358415898473,0.45879266436235544,0.38685720704866783,90.0,100,10
0.9786447441421838,0.9883402374684725,0.9792582841720106,90.0,100,100
0.9968469719569091,0.9884047823764681,0.9919546311938419,90.0,100,1000
0.38432255215282324,0.45888319365354324,0.3970938194051929,90.0,150,10
0.9932509637410252,0.9883506264743215,0.9900833380053607,90.0,150,100
0.997086870565799,0.988368979369318,0.9920051710519321,90.0,150,1000
0.3504161078114558,0.45841581071869986,0.36430560512973414,90.0,200,10
0.9781859934730114,0.9882795344132841,0.9789422905403988,90.0,200,100
0.9968469719569091,0.9884047823764681,0.9919546311938419,90.0,200,1000
0.41567705829958257,0.5895758939906058,0.44133619386964523,85.0,10,10
0.9521808699086272,0.9612624715555806,0.9530858219133751,85.0,10,100
0.9970873032465166,0.9877004455658073,0.9916103863994942,85.0,10,1000
0.3189917992077249,0.4287143360030779,0.3313420228533448,85.0,50,10
0.9807149428999254,0.9876294953225626,0.98056247873748,85.0,50,100
0.9970887030225525,0.9877037045159932,0.9916127146571269,85.0,50,1000
0.42665873395024745,0.5387448223938387,0.435970274549332,85.0,100,10
0.9792524711752545,0.9876175060495248,0.9798043230086989,85.0,100,100
0.9970887030225525,0.9877037045159932,0.9916127146571269,85.0,100,1000
0.3819398838355424,0.459902455794931,0.39502879758219267,85.0,150,10
0.9544005532022771,0.9613141941419767,0.9542476240498053,85.0,150,100
0.9970887030225525,0.9877037045159932,0.9916127146571269,85.0,150,1000
0.42551999217655845,0.4860558927599855,0.43332966864238215,85.0,200,10
0.9529385648981835,0.9613003309133014,0.9534887792252232,85.0,200,100
0.9970887030225525,0.9877037045159932,0.9916127146571269,85.0,200,1000
0.3402877108375252,0.507871210479308,0.3561651243420562,80.0,10,10
0.9530202541448849,0.9619033561094452,0.9532788135360188,80.0,10,100
0.9973577020422404,0.9883153368739298,0.9921349911093499,80.0,10,1000
0.3509199777160515,0.5108879646485668,0.3650074113383768,80.0,50,10
0.9536769648245609,0.9619437565773462,0.9536331881190484,80.0,50,100
0.9973587478966827,0.9883177756105589,0.9921367325393577,80.0,50,1000
0.35595888969645983,0.5113801323043518,0.3715130054698342,80.0,100,10
0.9786096422892898,0.9882377764659118,0.9792279081755642,80.0,100,100
0.9973587478966827,0.9883177756105589,0.9921367325393577,80.0,100,1000
0.35095352611468683,0.43254589374342495,0.3651247995489732,80.0,150,10
0.9533827332940771,0.9619157737512081,0.953466906491941,80.0,150,100
0.9973587478966827,0.9883177756105589,0.9921367325393577,80.0,150,1000
0.3524608212643554,0.43185604515019227,0.367263463651838,80.0,200,10
0.9538235708940521,0.9619458317588896,0.9537077376211897,80.0,200,100
0.9973587478966827,0.9883177756105589,0.9921367325393577,80.0,200,1000
0.3187957042723721,0.4914334218159391,0.33663153337905105,75.0,10,10
0.9353938440574194,0.9629668055985855,0.9424189450550827,75.0,10,100
